OrderDate,Year,Month,Region,Category,SubCategory,Segment,Quantity,Discount,Sales,Profit,Margin
2021-01-27,2021,1,Asia Pacific,Furniture,Furnishings,Corporate,4,0.3,557.15,-95.92,-0.1721618953603159
2023-11-27,2023,11,Latin America,Furniture,Chairs,Corporate,2,0.15,768.41,-50.47,-0.06568108171418904
2021-01-18,2021,1,Europe,Office Supplies,Paper,Home Office,1,0.0,36.8,9.55,0.2595108695652174
2022-05-05,2022,5,Latin America,Office Supplies,Binders,Consumer,3,0.0,226.33,26.75,0.11819025317014978
2023-06-22,2023,6,Europe,Office Supplies,Binders,Consumer,1,0.2,42.1,4.63,0.10997624703087885
2021-02-20,2021,2,Europe,Office Supplies,Binders,Home Office,2,0.1,97.13,0.58,0.005971378564810048
2021-09-21,2021,9,Asia Pacific,Technology,Phones,Consumer,3,0.1,1213.6,201.08,0.16568885959129864
2023-12-18,2023,12,North America,Technology,Phones,Consumer,2,0.0,1475.5,474.5,0.32158590308370044
2024-02-16,2024,2,Asia Pacific,Office Supplies,Binders,Corporate,4,0.0,144.02,29.01,0.2014303568948757
2024-08-01,2024,8,North America,Technology,Phones,Consumer,2,0.1,1362.53,299.75,0.2199951560699581
2024-07-01,2024,7,Europe,Furniture,Tables,Home Office,2,0.15,740.12,9.47,0.012795222396368157
2022-05-31,2022,5,Asia Pacific,Office Supplies,Paper,Consumer,5,0.1,381.21,39.47,0.10353873193253063
2024-12-11,2024,12,Asia Pacific,Technology,Phones,Consumer,1,0.0,912.21,227.02,0.24886813343418732
2023-02-15,2023,2,Europe,Office Supplies,Paper,Corporate,1,0.3,70.64,-0.52,-0.0073612684031710085
2024-12-14,2024,12,Europe,Office Supplies,Art,Consumer,6,0.2,1118.64,-13.4,-0.011978831438174926
2023-05-23,2023,5,Europe,Office Supplies,Art,Home Office,3,0.4,218.09,-38.49,-0.17648677151634648
2023-05-01,2023,5,Europe,Technology,Phones,Consumer,5,0.15,1940.12,280.46,0.14455806857307796
2024-03-02,2024,3,Asia Pacific,Office Supplies,Storage,Consumer,3,0.0,228.31,37.59,0.1646445622180369
2023-08-04,2023,8,Latin America,Technology,Phones,Consumer,7,0.4,1700.54,-2.55,-0.0014995236807131853
2021-02-08,2021,2,Europe,Technology,Laptops,Consumer,1,0.2,366.77,21.51,0.05864710854213813
2021-12-14,2021,12,Middle East & Africa,Furniture,Chairs,Consumer,5,0.2,1899.89,-105.9,-0.055740069161898845
2024-11-26,2024,11,North America,Technology,Accessories,Consumer,3,0.15,2385.85,462.41,0.1938135255778863
2023-10-29,2023,10,North America,Office Supplies,Art,Consumer,1,0.1,73.15,14.18,0.19384825700615171
2022-04-06,2022,4,Asia Pacific,Technology,Laptops,Consumer,4,0.0,1924.54,638.67,0.3318559240130109
2023-10-13,2023,10,Europe,Office Supplies,Art,Home Office,5,0.2,365.82,38.62,0.10557104586955332
2023-02-10,2023,2,Europe,Office Supplies,Binders,Corporate,2,0.0,75.23,10.77,0.143160973016084
2022-03-25,2022,3,Asia Pacific,Office Supplies,Art,Consumer,1,0.3,17.75,-1.66,-0.09352112676056337
2024-08-22,2024,8,Latin America,Office Supplies,Binders,Consumer,5,0.15,374.98,21.55,0.057469731719025016
2023-03-09,2023,3,Europe,Technology,Laptops,Consumer,6,0.0,2958.32,946.13,0.319820032991698
2023-09-11,2023,9,North America,Office Supplies,Paper,Consumer,2,0.1,88.28,10.98,0.12437698232895333
2024-05-03,2024,5,Latin America,Furniture,Furnishings,Consumer,1,0.0,274.27,19.3,0.07036861486856019
2024-11-29,2024,11,Europe,Office Supplies,Art,Consumer,3,0.0,388.9,97.32,0.2502442787348933
2021-12-16,2021,12,North America,Furniture,Chairs,Consumer,3,0.15,1098.04,-153.83,-0.14009507850351538
2021-03-19,2021,3,Europe,Office Supplies,Paper,Consumer,4,0.1,194.08,28.16,0.14509480626545754
2024-04-30,2024,4,North America,Furniture,Tables,Corporate,2,0.1,516.44,-20.48,-0.03965610719541476
2024-11-18,2024,11,Asia Pacific,Furniture,Bookcases,Corporate,5,0.0,2769.69,420.96,0.15198812863533462
2021-11-11,2021,11,Middle East & Africa,Office Supplies,Binders,Consumer,2,0.0,225.4,44.46,0.19724933451641527
2021-04-28,2021,4,North America,Technology,Accessories,Home Office,4,0.15,2102.23,219.18,0.10426071362315256
2021-01-01,2021,1,Asia Pacific,Technology,Phones,Consumer,4,0.0,3379.56,1281.53,0.3792002509202381
2024-04-06,2024,4,Asia Pacific,Technology,Phones,Consumer,2,0.3,990.09,17.8,0.01797816360128877
2021-08-24,2021,8,Europe,Office Supplies,Storage,Home Office,1,0.3,65.24,-0.06,-0.0009196811771919069
2023-05-23,2023,5,Asia Pacific,Office Supplies,Storage,Consumer,5,0.1,297.3,49.07,0.1650521358896737
2022-02-26,2022,2,Europe,Furniture,Chairs,Consumer,5,0.1,1171.05,56.73,0.048443704367874985
2023-11-05,2023,11,Latin America,Furniture,Tables,Home Office,2,0.0,1271.83,85.46,0.06719451499021095
2022-08-21,2022,8,Asia Pacific,Furniture,Tables,Consumer,3,0.0,1333.97,117.08,0.08776809073667323
2021-02-16,2021,2,Europe,Office Supplies,Storage,Corporate,3,0.1,69.06,12.07,0.17477555748624385
2021-10-29,2021,10,Asia Pacific,Office Supplies,Art,Consumer,1,0.4,102.63,-14.42,-0.14050472571372893
2021-05-07,2021,5,North America,Office Supplies,Paper,Consumer,1,0.0,49.01,8.16,0.16649663334013468
2022-02-24,2022,2,North America,Office Supplies,Storage,Consumer,3,0.15,174.05,4.09,0.02349899454179833
2022-07-29,2022,7,Europe,Office Supplies,Paper,Consumer,3,0.0,135.85,24.8,0.18255428781744573
2024-04-18,2024,4,Europe,Office Supplies,Binders,Corporate,2,0.1,163.27,16.44,0.10069210510197832
2021-05-28,2021,5,Europe,Technology,Phones,Consumer,2,0.1,1347.22,233.77,0.17352028621902882
2022-11-01,2022,11,North America,Technology,Laptops,Home Office,4,0.2,2330.09,-182.7,-0.07840898849400665
2024-07-11,2024,7,Latin America,Office Supplies,Art,Consumer,8,0.15,631.48,-9.81,-0.01553493380629632
2023-01-31,2023,1,Asia Pacific,Technology,Phones,Corporate,7,0.0,1918.0,450.68,0.23497393117831075
2021-11-26,2021,11,North America,Technology,Accessories,Consumer,7,0.1,6899.77,1079.8,0.1564979702221958
2023-12-13,2023,12,North America,Office Supplies,Paper,Corporate,3,0.15,295.07,-3.58,-0.012132714271189888
2022-06-05,2022,6,Europe,Office Supplies,Storage,Consumer,2,0.2,149.01,6.13,0.041138178645728475
2023-04-18,2023,4,Latin America,Technology,Copiers,Consumer,1,0.0,934.12,260.58,0.27895773562283216
2021-12-08,2021,12,North America,Office Supplies,Paper,Corporate,3,0.2,228.39,15.34,0.06716581286396077
2021-05-10,2021,5,North America,Office Supplies,Storage,Consumer,2,0.2,146.79,0.55,0.003746849240411473
2023-01-14,2023,1,Europe,Furniture,Bookcases,Home Office,2,0.3,398.68,-60.89,-0.15272900571887227
2023-08-16,2023,8,Middle East & Africa,Technology,Phones,Corporate,1,0.2,489.57,92.3,0.18853279408460485
2021-02-11,2021,2,Europe,Technology,Laptops,Corporate,3,0.15,619.33,82.8,0.13369286164080538
2021-08-04,2021,8,Asia Pacific,Office Supplies,Binders,Corporate,4,0.0,292.98,57.63,0.19670284661069015
2022-09-21,2022,9,Asia Pacific,Technology,Copiers,Home Office,6,0.0,1679.73,512.4,0.305049025736279
2024-01-27,2024,1,Latin America,Office Supplies,Paper,Corporate,1,0.1,115.91,12.73,0.10982658959537572
2022-12-23,2022,12,Europe,Furniture,Furnishings,Consumer,1,0.4,452.1,-88.94,-0.19672638796726385
2023-11-29,2023,11,North America,Technology,Phones,Consumer,6,0.0,3396.03,1085.65,0.319682099392526
2024-03-11,2024,3,North America,Office Supplies,Paper,Consumer,1,0.2,35.5,-1.79,-0.050422535211267605
2024-03-09,2024,3,Middle East & Africa,Office Supplies,Binders,Consumer,5,0.15,370.2,29.48,0.07963263101026473
2024-10-21,2024,10,North America,Technology,Laptops,Consumer,5,0.0,3326.63,1339.61,0.40269281525147066
2022-02-23,2022,2,Asia Pacific,Office Supplies,Art,Home Office,3,0.0,63.92,9.34,0.14612015018773467
2024-05-03,2024,5,Middle East & Africa,Office Supplies,Binders,Consumer,3,0.5,212.92,-62.08,-0.2915649070073267
2023-08-31,2023,8,Latin America,Office Supplies,Paper,Consumer,5,0.2,398.08,-3.17,-0.00796322347266881
2024-04-06,2024,4,North America,Technology,Copiers,Corporate,5,0.2,2342.79,136.64,0.05832362268918682
2021-03-23,2021,3,Asia Pacific,Office Supplies,Binders,Consumer,1,0.0,69.11,6.59,0.09535523079149183
2023-05-16,2023,5,Asia Pacific,Office Supplies,Storage,Consumer,1,0.1,98.31,8.67,0.08819041806530363
2021-12-01,2021,12,Latin America,Technology,Copiers,Consumer,5,0.15,2650.9,637.65,0.2405409483571617
2023-08-06,2023,8,Asia Pacific,Technology,Accessories,Home Office,3,0.4,1429.15,-201.86,-0.14124479585767763
2024-01-28,2024,1,Europe,Technology,Accessories,Home Office,3,0.3,1860.64,41.24,0.022164416544844783
2021-03-25,2021,3,Europe,Technology,Accessories,Consumer,3,0.15,1450.75,260.4,0.17949336550060313
2022-05-07,2022,5,Europe,Office Supplies,Paper,Consumer,1,0.0,105.93,6.98,0.06589257056546777
2021-12-15,2021,12,North America,Technology,Copiers,Home Office,2,0.0,2309.98,820.16,0.35505069307959375
2022-06-05,2022,6,North America,Furniture,Bookcases,Corporate,4,0.1,2523.67,1.89,0.0007489093264967289
2022-08-30,2022,8,Asia Pacific,Office Supplies,Binders,Home Office,1,0.0,42.74,8.02,0.1876462330369677
2023-06-08,2023,6,Europe,Technology,Laptops,Corporate,2,0.0,1194.14,212.45,0.17791046275981037
2022-08-12,2022,8,North America,Furniture,Tables,Home Office,3,0.0,961.63,112.16,0.11663529631979035
2022-09-27,2022,9,North America,Office Supplies,Storage,Corporate,6,0.15,451.81,69.5,0.15382572320223104
2021-01-22,2021,1,Europe,Office Supplies,Binders,Consumer,5,0.2,243.0,-22.19,-0.09131687242798354
2021-11-05,2021,11,Asia Pacific,Furniture,Tables,Consumer,4,0.1,998.08,-3.7,-0.0037071176659185636
2024-05-15,2024,5,North America,Furniture,Tables,Home Office,6,0.0,4910.88,641.41,0.13060999250643468
2023-05-16,2023,5,Europe,Office Supplies,Paper,Corporate,4,0.0,401.56,73.75,0.18365873094929774
2023-03-05,2023,3,Asia Pacific,Office Supplies,Storage,Corporate,3,0.1,142.4,13.25,0.09304775280898876
2021-01-14,2021,1,Europe,Furniture,Tables,Consumer,4,0.1,1896.65,183.75,0.09688134342129544
2023-07-08,2023,7,Europe,Technology,Accessories,Consumer,3,0.4,3583.6,-512.44,-0.14299587007478515
2021-11-09,2021,11,North America,Technology,Phones,Corporate,4,0.15,2767.42,552.02,0.1994709874178838
2021-11-30,2021,11,North America,Office Supplies,Art,Consumer,2,0.1,310.83,43.08,0.13859666055400058
2021-08-30,2021,8,Middle East & Africa,Technology,Laptops,Consumer,4,0.0,1157.02,329.28,0.28459317902888454
2021-11-04,2021,11,Asia Pacific,Technology,Accessories,Consumer,2,0.5,1725.85,-398.58,-0.230947069559927
2022-03-03,2022,3,Asia Pacific,Furniture,Chairs,Home Office,5,0.1,1900.77,210.55,0.11077089810971344
2023-10-07,2023,10,Asia Pacific,Technology,Phones,Consumer,6,0.2,4289.61,551.2,0.12849652998757466
2023-09-28,2023,9,North America,Office Supplies,Binders,Consumer,1,0.1,44.22,1.24,0.02804161013116237
2023-07-06,2023,7,Europe,Office Supplies,Binders,Consumer,2,0.15,258.28,27.25,0.10550565277992877
2023-07-31,2023,7,Europe,Office Supplies,Art,Corporate,1,0.1,48.49,1.13,0.023303773974015257
2024-08-09,2024,8,North America,Furniture,Bookcases,Corporate,3,0.0,1291.99,160.28,0.12405668774526118
2022-12-16,2022,12,Europe,Technology,Phones,Consumer,1,0.1,523.21,73.66,0.14078477093327726
2023-01-21,2023,1,Europe,Office Supplies,Paper,Corporate,3,0.0,236.03,33.42,0.14159217048680253
2023-06-28,2023,6,North America,Technology,Phones,Corporate,5,0.15,3273.85,497.5,0.15196175756372468
2024-02-16,2024,2,Europe,Office Supplies,Paper,Consumer,5,0.3,211.85,-7.47,-0.03526079773424593
2023-12-20,2023,12,Asia Pacific,Office Supplies,Storage,Corporate,2,0.0,251.16,52.92,0.21070234113712374
2022-10-24,2022,10,North America,Office Supplies,Art,Consumer,3,0.15,154.46,3.16,0.020458371099313737
2024-10-29,2024,10,Europe,Office Supplies,Storage,Home Office,1,0.0,85.24,23.14,0.2714687939934303
2023-10-03,2023,10,North America,Office Supplies,Art,Consumer,2,0.0,131.36,19.9,0.15149208282582213
2022-06-01,2022,6,North America,Office Supplies,Art,Home Office,3,0.2,256.9,27.57,0.10731802257687817
2021-04-26,2021,4,North America,Office Supplies,Art,Home Office,3,0.0,255.48,44.71,0.17500391420072023
2024-11-24,2024,11,Asia Pacific,Office Supplies,Art,Consumer,2,0.0,293.13,66.89,0.228192269641456
2021-10-13,2021,10,Europe,Office Supplies,Paper,Corporate,3,0.1,129.96,5.36,0.041243459526008004
2023-02-09,2023,2,Latin America,Office Supplies,Storage,Home Office,3,0.15,172.58,21.59,0.12510140224823268
2021-09-01,2021,9,North America,Office Supplies,Paper,Corporate,4,0.1,269.34,19.9,0.07388430979431203
2022-08-01,2022,8,North America,Technology,Laptops,Home Office,5,0.0,3723.59,1146.46,0.3078910406355157
2023-06-18,2023,6,Middle East & Africa,Office Supplies,Binders,Consumer,1,0.1,86.82,8.92,0.10274130384703986
2022-06-27,2022,6,Europe,Furniture,Furnishings,Home Office,1,0.1,322.9,2.73,0.008454629916382782
2021-10-14,2021,10,North America,Office Supplies,Paper,Consumer,4,0.0,171.65,39.95,0.23274104281969124
2022-02-04,2022,2,North America,Furniture,Bookcases,Consumer,2,0.2,616.61,-30.05,-0.04873420800830346
2023-02-07,2023,2,North America,Furniture,Furnishings,Consumer,3,0.2,661.77,-80.95,-0.12232346585671759
2022-10-23,2022,10,Asia Pacific,Technology,Accessories,Corporate,3,0.15,844.94,90.31,0.1068833289937747
2021-11-04,2021,11,North America,Technology,Laptops,Consumer,3,0.2,1437.89,-19.87,-0.013818859578966402
2022-02-01,2022,2,North America,Technology,Copiers,Consumer,4,0.15,1384.85,264.6,0.19106762465248947
2023-03-13,2023,3,Europe,Furniture,Chairs,Corporate,1,0.15,360.39,-21.22,-0.05888065706595633
2021-04-11,2021,4,North America,Technology,Accessories,Corporate,1,0.1,317.15,80.85,0.2549266908402964
2022-03-12,2022,3,Asia Pacific,Office Supplies,Art,Consumer,3,0.15,136.02,6.5,0.04778709013380385
2024-09-22,2024,9,North America,Office Supplies,Binders,Home Office,1,0.0,51.67,7.54,0.14592606928585253
2021-08-05,2021,8,Europe,Technology,Laptops,Consumer,2,0.15,1123.8,161.4,0.1436198611852643
2024-08-04,2024,8,Asia Pacific,Technology,Accessories,Consumer,2,0.0,499.92,164.33,0.32871259401504244
2022-02-18,2022,2,Latin America,Office Supplies,Storage,Home Office,6,0.3,257.18,0.09,0.00034994945174585893
2024-10-15,2024,10,Europe,Technology,Copiers,Consumer,3,0.2,1548.21,148.17,0.09570407115313813
2021-10-10,2021,10,Middle East & Africa,Furniture,Bookcases,Home Office,4,0.3,1960.5,-252.56,-0.12882427952053047
2024-10-22,2024,10,Latin America,Furniture,Furnishings,Consumer,1,0.5,441.27,-170.48,-0.386339429374306
2024-02-02,2024,2,North America,Office Supplies,Paper,Consumer,3,0.15,248.47,6.09,0.02451000120738922
2022-08-21,2022,8,Latin America,Office Supplies,Art,Corporate,3,0.3,153.42,-18.57,-0.12104028157997655
2024-01-30,2024,1,North America,Furniture,Furnishings,Corporate,5,0.2,967.93,-6.65,-0.006870331532238903
2023-11-10,2023,11,Europe,Office Supplies,Binders,Corporate,1,0.15,192.98,28.82,0.1493419007151
2021-06-11,2021,6,Asia Pacific,Office Supplies,Art,Home Office,1,0.2,58.04,-0.73,-0.012577532736044108
2023-09-25,2023,9,North America,Office Supplies,Storage,Consumer,1,0.0,48.31,8.85,0.18319188573794243
2023-02-02,2023,2,Asia Pacific,Office Supplies,Binders,Home Office,4,0.1,302.56,25.65,0.08477657324167107
2021-05-17,2021,5,Middle East & Africa,Technology,Copiers,Consumer,1,0.1,441.23,44.82,0.10157967499943339
2023-01-27,2023,1,North America,Office Supplies,Paper,Home Office,4,0.1,257.11,48.49,0.1885963206409708
2024-08-29,2024,8,North America,Technology,Laptops,Corporate,4,0.0,2060.1,555.85,0.26981699917479735
2021-06-12,2021,6,North America,Office Supplies,Paper,Consumer,3,0.0,153.72,29.1,0.18930523028883686
2021-09-07,2021,9,Europe,Furniture,Tables,Consumer,2,0.15,566.97,-11.7,-0.020636012487433197
2021-07-18,2021,7,Europe,Office Supplies,Art,Consumer,4,0.5,154.52,-21.52,-0.13926999741133833
2022-01-19,2022,1,Middle East & Africa,Technology,Phones,Consumer,2,0.0,1307.28,540.11,0.4131555596352733
2024-10-09,2024,10,Europe,Office Supplies,Storage,Corporate,1,0.0,48.0,2.11,0.04395833333333333
2021-01-22,2021,1,Latin America,Office Supplies,Paper,Home Office,4,0.2,225.64,2.01,0.008907995036341074
2022-07-15,2022,7,North America,Technology,Copiers,Corporate,2,0.0,1162.21,276.76,0.23813252338217705
2023-02-21,2023,2,North America,Furniture,Tables,Corporate,2,0.1,305.47,-7.97,-0.02609094182734802
2021-08-15,2021,8,North America,Office Supplies,Binders,Consumer,1,0.0,45.73,7.52,0.16444347255630878
2022-05-23,2022,5,Asia Pacific,Office Supplies,Binders,Consumer,4,0.15,155.98,10.24,0.06564944223618413
2023-05-27,2023,5,Latin America,Technology,Copiers,Consumer,1,0.3,796.63,-23.68,-0.02972521747862872
2022-09-05,2022,9,Europe,Office Supplies,Paper,Home Office,2,0.0,119.52,24.52,0.20515394912985274
2022-11-01,2022,11,Asia Pacific,Technology,Laptops,Home Office,3,0.5,1772.07,-412.65,-0.23286326160930437
2021-09-22,2021,9,Asia Pacific,Office Supplies,Storage,Corporate,4,0.15,230.58,13.98,0.06062971636742128
2024-07-24,2024,7,North America,Technology,Phones,Consumer,1,0.15,1051.51,135.52,0.12888132304970948
2024-04-14,2024,4,Europe,Office Supplies,Art,Consumer,4,0.0,237.47,47.51,0.20006737693182297
2021-07-20,2021,7,Asia Pacific,Office Supplies,Storage,Consumer,4,0.3,294.96,-20.95,-0.07102657987523732
2022-07-05,2022,7,Asia Pacific,Technology,Accessories,Consumer,3,0.3,846.97,-87.96,-0.10385255676116036
2023-04-20,2023,4,North America,Furniture,Bookcases,Consumer,1,0.1,344.6,10.17,0.029512478235635516
2021-03-24,2021,3,Middle East & Africa,Office Supplies,Storage,Corporate,1,0.1,75.07,5.53,0.07366457972558946
2023-08-01,2023,8,Europe,Technology,Phones,Corporate,1,0.1,492.24,86.06,0.17483341459450674
2024-05-11,2024,5,North America,Technology,Laptops,Corporate,1,0.3,743.88,71.06,0.09552616013335484
2024-02-25,2024,2,Asia Pacific,Office Supplies,Paper,Corporate,1,0.0,55.84,13.85,0.24803008595988538
2024-07-23,2024,7,North America,Furniture,Chairs,Consumer,7,0.15,4336.65,-184.74,-0.042599702535367164
2021-01-26,2021,1,North America,Technology,Phones,Corporate,4,0.15,1535.7,38.18,0.024861626619782508
2021-07-13,2021,7,North America,Furniture,Chairs,Consumer,1,0.1,224.56,-10.33,-0.04600106875667973
2022-12-31,2022,12,Latin America,Technology,Laptops,Home Office,2,0.0,838.14,266.53,0.31800176581478035
2022-10-15,2022,10,Europe,Office Supplies,Binders,Consumer,1,0.3,53.8,-6.33,-0.11765799256505577
2022-12-05,2022,12,Europe,Technology,Laptops,Consumer,6,0.1,3841.85,751.68,0.19565573877168552
2021-05-07,2021,5,North America,Furniture,Furnishings,Corporate,4,0.0,1323.09,173.3,0.13098126355727882
2023-10-02,2023,10,Asia Pacific,Technology,Copiers,Corporate,1,0.0,233.37,56.95,0.24403308051591893
2022-02-16,2022,2,Europe,Office Supplies,Art,Consumer,5,0.3,251.35,-10.57,-0.04205291426297991
2024-01-13,2024,1,Asia Pacific,Office Supplies,Binders,Consumer,2,0.15,77.13,1.75,0.022688966679631793
2023-09-13,2023,9,Latin America,Office Supplies,Storage,Consumer,6,0.1,552.7,36.74,0.06647367468789578
2021-07-14,2021,7,Latin America,Office Supplies,Storage,Consumer,1,0.1,56.0,5.39,0.09624999999999999
2022-11-10,2022,11,Europe,Technology,Accessories,Consumer,2,0.15,1444.02,197.73,0.13693023642331822
2024-12-21,2024,12,Europe,Office Supplies,Storage,Consumer,3,0.2,321.81,7.73,0.02402038469904602
2024-12-28,2024,12,Europe,Technology,Accessories,Corporate,1,0.1,445.4,52.31,0.11744499326448138
2021-05-05,2021,5,Europe,Technology,Phones,Home Office,3,0.0,1266.33,364.46,0.2878080753042256
2021-02-28,2021,2,Middle East & Africa,Furniture,Chairs,Home Office,4,0.1,1020.74,-4.63,-0.004535924917216921
2024-10-09,2024,10,North America,Technology,Phones,Consumer,4,0.0,2390.14,626.47,0.26210598542344804
2022-05-24,2022,5,Middle East & Africa,Office Supplies,Art,Consumer,3,0.4,210.9,-27.83,-0.13195827406353722
2021-03-05,2021,3,Asia Pacific,Office Supplies,Paper,Corporate,3,0.3,130.72,-4.75,-0.036337209302325583
2023-06-02,2023,6,Europe,Office Supplies,Art,Corporate,3,0.15,115.54,17.54,0.15180889735156655
2022-12-05,2022,12,Europe,Office Supplies,Storage,Home Office,5,0.1,324.76,19.58,0.06029067619164921
2024-09-08,2024,9,Europe,Furniture,Tables,Consumer,3,0.15,1018.37,29.51,0.02897768001806809
2021-10-04,2021,10,Europe,Office Supplies,Art,Corporate,5,0.0,419.9,49.56,0.11802810192903074
2021-05-21,2021,5,Asia Pacific,Office Supplies,Art,Corporate,3,0.2,117.92,6.93,0.05876865671641791
2024-10-13,2024,10,North America,Office Supplies,Paper,Corporate,3,0.15,178.18,7.84,0.0440004489841733
2024-11-04,2024,11,Asia Pacific,Technology,Laptops,Corporate,3,0.0,1881.85,482.62,0.256460398012594
2023-01-03,2023,1,Europe,Office Supplies,Binders,Corporate,4,0.1,260.32,39.1,0.15019975414874
2023-10-31,2023,10,Asia Pacific,Office Supplies,Art,Corporate,5,0.0,372.27,61.26,0.16455798210975905
2024-08-06,2024,8,North America,Office Supplies,Storage,Consumer,1,0.2,84.98,-1.77,-0.020828430218875028
2021-10-21,2021,10,Latin America,Office Supplies,Art,Consumer,3,0.3,103.02,-12.46,-0.12094738885653272
2022-03-04,2022,3,Europe,Office Supplies,Storage,Consumer,3,0.1,175.77,34.99,0.19906696250782271
2022-09-24,2022,9,Asia Pacific,Technology,Phones,Corporate,6,0.0,3407.42,1159.18,0.3401928732002512
2024-01-30,2024,1,Europe,Furniture,Furnishings,Consumer,2,0.2,552.8,-42.78,-0.0773878437047757
2021-07-29,2021,7,Europe,Furniture,Tables,Consumer,4,0.0,676.2,102.03,0.15088731144631765
2024-07-10,2024,7,North America,Office Supplies,Paper,Corporate,4,0.0,258.66,47.04,0.18186035722570168
2022-07-19,2022,7,North America,Office Supplies,Paper,Consumer,4,0.4,198.83,-21.92,-0.1102449328572147
2023-06-03,2023,6,North America,Furniture,Furnishings,Consumer,3,0.3,883.11,-156.14,-0.17680696628959017
2021-06-24,2021,6,Asia Pacific,Technology,Laptops,Consumer,3,0.15,1971.78,475.1,0.24094980170201546
2022-01-08,2022,1,Asia Pacific,Office Supplies,Storage,Corporate,4,0.15,267.48,16.72,0.06250934649319574
2024-05-13,2024,5,Asia Pacific,Furniture,Tables,Corporate,5,0.2,1305.5,-50.28,-0.038513979318268866
2024-05-07,2024,5,North America,Office Supplies,Paper,Consumer,4,0.4,413.91,-59.65,-0.1441134546157377
2024-01-31,2024,1,North America,Furniture,Bookcases,Consumer,5,0.2,914.12,-96.87,-0.1059707697020085
2023-01-06,2023,1,Europe,Office Supplies,Binders,Corporate,4,0.15,379.81,24.34,0.06408467391590532
2022-05-08,2022,5,North America,Office Supplies,Art,Home Office,3,0.1,178.01,38.08,0.21392056626032246
2024-01-19,2024,1,Europe,Technology,Phones,Consumer,1,0.0,564.66,159.27,0.2820635426628414
2023-06-02,2023,6,Asia Pacific,Furniture,Chairs,Home Office,4,0.15,981.71,16.24,0.0165425634861619
2023-11-29,2023,11,Asia Pacific,Office Supplies,Paper,Corporate,1,0.1,64.94,8.46,0.13027409916846322
2021-11-18,2021,11,Europe,Office Supplies,Paper,Consumer,1,0.0,177.77,31.58,0.17764527198064914
2024-07-12,2024,7,North America,Office Supplies,Paper,Home Office,1,0.1,62.33,10.35,0.16605166051660517
2022-09-21,2022,9,North America,Technology,Accessories,Corporate,3,0.0,2225.18,484.55,0.217757664548486
2023-12-18,2023,12,Latin America,Office Supplies,Storage,Consumer,1,0.4,87.24,-11.84,-0.13571756075194866
2022-12-10,2022,12,Asia Pacific,Office Supplies,Binders,Corporate,6,0.15,533.19,69.61,0.1305538363435173
2022-09-20,2022,9,North America,Technology,Copiers,Consumer,2,0.3,368.01,7.34,0.019945110187223173
2021-02-09,2021,2,North America,Office Supplies,Binders,Corporate,3,0.0,105.32,11.23,0.10662742119255603
2021-09-11,2021,9,Europe,Office Supplies,Binders,Consumer,1,0.0,37.59,5.1,0.13567438148443733
